# ejercicio,valor
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,"[3.23900975e-02 2.86871976e-01 5.08419660e-01 5.73217134e-01
 6.87649707e-01 1.05796052e-01 4.54925290e-01 8.98963251e-01
 5.05621085e-01 4.09720641e-01 8.43895020e-01 9.72465838e-01
 1.79981307e-01 4.31963238e-01 6.18950500e-01 7.17716032e-01
 7.05056481e-02 5.84769317e-01 7.51579355e-01 1.49245393e-01
 6.86221971e-01 8.65917661e-01 6.93991922e-01 5.36407965e-02
 8.33615666e-01 7.42082712e-01 7.07385074e-01 2.47220030e-01
 3.93451570e-01 5.46891043e-02 2.11301575e-01 2.74255713e-01
 2.51431079e-01 7.90416904e-01 6.18558967e-01 8.35695978e-01
 8.73622286e-01 6.34836522e-01 2.21234011e-02 1.32739382e-01
 4.93343675e-01 4.04904462e-01 6.83021685e-01 9.99547506e-01
 2.70371332e-01 5.13295159e-01 2.00512269e-01 3.06512917e-01
 8.15443147e-01 7.55303910e-01 3.25159692e-01 4.21652417e-01
 9.29934941e-01 6.66972134e-02 6.02016558e-01 6.59622473e-01
 6.76688796e-01 7.54542339e-01 1.94826421e-01 9.91128839e-01
 1.85916170e-02 1.01420088e-01 7.61285881e-01 7.09075370e-01
 7.83360713e-01 2.18533904e-01 6.40686075e-01 1.54519071e-01
 6.34582097e-02 7.92500941e-01 3.94392660e-01 3.86234514e-01
 6.37083098e-02 5.45955399e-02 2.30399339e-01 4.08654114e-01
 2.36379442e-01 4.06504020e-01 3.38138678e-01 8.38951312e-01
 3.48244389e-01 1.59166076e-01 2.42007114e-01 1.61570507e-02
 6.73004709e-01 7.54186359e-04 8.33496444e-01 1.82060607e-01
 2.70662640e-01 2.23017379e-01 5.25182040e-01 1.60410554e-01
 9.86322317e-02 9.55005153e-01 2.78268302e-01 6.12743054e-02
 2.58819012e-01 9.46233969e-02 8.93502393e-01 3.37071181e-02], [0.89001403 0.19821389 0.28375771 0.81557768 0.19764303 0.02916719
 0.67534848 0.95102144 0.24198417 0.53215378 0.66813109 0.58645051
 0.4783017  0.56333552 0.09542132 0.0524604  0.85339158 0.10357656
 0.83991222 0.3583844  0.7719018  0.73867529 0.69254365 0.77552029
 0.43855677 0.41981857 0.55971273 0.90934971 0.69390832 0.60071213
 0.80352931 0.50476935 0.53752939 0.36667764 0.31559177 0.16821834
 0.36768685 0.10962011 0.69805641 0.48817549 0.23936055 0.33287657
 0.33291229 0.72656257 0.71940079 0.37707907 0.85918027 0.55272512
 0.91636772 0.91323318 0.92050793 0.90437484 0.05017845 0.37674328
 0.12087711 0.91124065 0.27329649 0.86212163 0.73469183 0.11430264
 0.61656089 0.19985899 0.02018211 0.54149882 0.04612954 0.34553377
 0.82655682 0.68214423 0.82611041 0.98012504 0.8285451  0.54075942
 0.61100695 0.56847522 0.83941249 0.73932069 0.13552969 0.85752231
 0.20014741 0.14684426 0.4800321  0.25008038 0.90142007 0.22836194
 0.0555964  0.18704278 0.45648981 0.79206585 0.48983218 0.530388
 0.4172223  0.26298358 0.14528703 0.45771807 0.21361115 0.29877489
 0.71012663 0.05281684 0.79132062 0.58897944], /workspaces/luz_torres/src/pad_2025/actividad_final_2/punto_11.png"
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
